,Season,Lookback,Num Games,Num Correct,% Correct,Timestamp,Run Duration,Comment
0,2016,50,2428,1275,52.51235584843492,2020-01-06 23:47:52.544527,0 days 00:00:12.117777000,"H2H, prioritize wins over net runs, FLO fix included."
1,2017,50,2430,1264,52.016460905349795,2020-01-06 23:48:04.665955,0 days 00:00:12.129268000,"H2H, prioritize wins over net runs, FLO fix included."
2,2016,100,2428,1278,52.63591433278418,2020-01-06 23:48:16.798694,0 days 00:00:12.933995000,"H2H, prioritize wins over net runs, FLO fix included."
3,2017,100,2430,1262,51.934156378600825,2020-01-06 23:48:29.737050,0 days 00:00:12.657902000,"H2H, prioritize wins over net runs, FLO fix included."
4,2016,200,2428,1245,51.27677100494233,2020-01-06 23:48:42.399409,0 days 00:00:13.485918000,"H2H, prioritize wins over net runs, FLO fix included."
5,2017,200,2430,1274,52.42798353909465,2020-01-06 23:48:55.888727,0 days 00:00:12.966280000,"H2H, prioritize wins over net runs, FLO fix included."
6,2016,300,2428,1254,51.64744645799012,2020-01-06 23:50:17.239517,0 days 00:00:12.448631000,"H2H, prioritize wins over net runs, FLO fix included."
7,2017,300,2430,1279,52.63374485596708,2020-01-06 23:50:29.691786,0 days 00:00:12.463252000,"H2H, prioritize wins over net runs, FLO fix included."
8,2016,500,2428,1239,51.02965403624382,2020-01-06 23:50:42.160058,0 days 00:00:13.857229000,"H2H, prioritize wins over net runs, FLO fix included."
9,2017,500,2430,1312,53.991769547325106,2020-01-06 23:50:56.020736,0 days 00:00:12.589122000,"H2H, prioritize wins over net runs, FLO fix included."
10,2016,1000,2428,1241,51.11202635914333,2020-01-06 23:51:08.613760,0 days 00:00:12.864178000,"H2H, prioritize wins over net runs, FLO fix included."
11,2017,1000,2430,1289,53.04526748971193,2020-01-06 23:51:21.481830,0 days 00:00:12.448081000,"H2H, prioritize wins over net runs, FLO fix included."
