,Season,Lookback,Num Games,Num Correct,% Correct,Comment
0,0,1,19399,9924,51.15727614825506,All Seasons
1,2010,1,2392,1245,52.04849498327759,
2,2011,1,2429,1221,50.267599835323175,
3,2012,1,2430,1257,51.72839506172839,
4,2013,1,2431,1261,51.87165775401069,
5,2014,1,2430,1195,49.17695473251029,
6,2015,1,2429,1257,51.749691230959236,
7,2016,1,2428,1264,52.05930807248764,
8,2017,1,2430,1224,50.37037037037037,
9,0,2,19361,10006,51.681214813284434,All Seasons
10,2010,2,2354,1244,52.84621920135939,
11,2011,2,2429,1198,49.32070811033347,
12,2012,2,2430,1258,51.769547325102884,
13,2013,2,2431,1279,52.61209378856437,
14,2014,2,2430,1225,50.41152263374485,
15,2015,2,2429,1259,51.832029641827916,
16,2016,2,2428,1263,52.018121911037895,
17,2017,2,2430,1280,52.674897119341566,
18,0,5,19275,10070,52.243839169909215,All Seasons
19,2010,5,2268,1174,51.763668430335095,
20,2011,5,2429,1239,51.008645533141205,
21,2012,5,2430,1288,53.00411522633745,
22,2013,5,2431,1251,51.46030440148087,
23,2014,5,2430,1278,52.59259259259259,
24,2015,5,2429,1283,52.82009057225196,
25,2016,5,2428,1268,52.22405271828665,
26,2017,5,2430,1289,53.04526748971193,
27,0,10,19099,10119,52.98183150950312,All Seasons
28,2010,10,2092,1117,53.393881453154876,
29,2011,10,2429,1282,52.77892136681762,
30,2012,10,2430,1312,53.991769547325106,
31,2013,10,2431,1284,52.81777046482928,
32,2014,10,2430,1273,52.38683127572017,
33,2015,10,2429,1250,51.4615067929189,
34,2016,10,2428,1292,53.212520593080725,
35,2017,10,2430,1309,53.86831275720164,
36,0,15,18939,10072,53.181266170336336,All Seasons
37,2010,15,1932,1031,53.364389233954455,
38,2011,15,2429,1295,53.31412103746398,
39,2012,15,2430,1331,54.773662551440324,
40,2013,15,2431,1281,52.69436445907034,
41,2014,15,2430,1318,54.23868312757202,
42,2015,15,2429,1247,51.33799917661589,
43,2016,15,2428,1261,51.93574958813838,
44,2017,15,2430,1308,53.827160493827165,
45,0,20,18808,10096,53.67928541046363,All Seasons
46,2010,20,1801,946,52.526374236535254,
47,2011,20,2429,1323,54.46685878962536,
48,2012,20,2430,1331,54.773662551440324,
49,2013,20,2431,1306,53.7227478403949,
50,2014,20,2430,1312,53.991769547325106,
51,2015,20,2429,1279,52.65541375051461,
52,2016,20,2428,1301,53.5831960461285,
53,2017,20,2430,1298,53.41563786008231,
54,0,50,17900,9713,54.26256983240223,All Seasons
55,2010,50,893,498,55.76707726763718,
56,2011,50,2429,1300,53.51996706463565,
57,2012,50,2430,1330,54.73251028806584,
58,2013,50,2431,1313,54.01069518716578,
59,2014,50,2430,1311,53.95061728395062,
60,2015,50,2429,1316,54.17867435158501,
61,2016,50,2428,1307,53.83031301482701,
62,2017,50,2430,1338,55.06172839506173,
63,0,60,17604,9630,54.70347648261759,All Seasons
64,2010,60,597,342,57.286432160804026,
65,2011,60,2429,1302,53.602305475504316,
66,2012,60,2430,1325,54.52674897119342,
67,2013,60,2431,1324,54.463183874948584,
68,2014,60,2430,1322,54.403292181069965,
69,2015,60,2429,1334,54.91972004940304,
70,2016,60,2428,1336,55.02471169686986,
71,2017,60,2430,1345,55.349794238683124,
72,0,70,17301,9459,54.67314028090862,All Seasons
73,2010,70,294,156,53.06122448979592,
74,2011,70,2429,1334,54.91972004940304,
75,2012,70,2430,1322,54.403292181069965,
76,2013,70,2431,1341,55.162484574249284,
77,2014,70,2430,1312,53.991769547325106,
78,2015,70,2429,1315,54.13750514615068,
79,2016,70,2428,1335,54.9835255354201,
80,2017,70,2430,1344,55.30864197530864,
81,0,80,17027,9328,54.783579021554004,All Seasons
82,2010,80,20,11,55.00000000000001,
83,2011,80,2429,1352,55.66076574722108,
84,2012,80,2430,1341,55.18518518518518,
85,2013,80,2431,1343,55.24475524475524,
86,2014,80,2430,1312,53.991769547325106,
87,2015,80,2429,1295,53.31412103746398,
88,2016,80,2428,1335,54.9835255354201,
89,2017,80,2430,1339,55.10288065843621,
90,0,90,16701,9128,54.655409855697265,All Seasons
91,2010,90,0,0,,
92,2011,90,2123,1190,56.05275553462082,
93,2012,90,2430,1331,54.773662551440324,
94,2013,90,2431,1310,53.88728918140683,
95,2014,90,2430,1322,54.403292181069965,
96,2015,90,2429,1312,54.01399752984768,
97,2016,90,2428,1336,55.02471169686986,
98,2017,90,2430,1327,54.609053497942384,
99,0,100,16397,8971,54.71122766359699,All Seasons
100,2010,100,0,0,,
101,2011,100,1819,1008,55.4150632215503,
102,2012,100,2430,1345,55.349794238683124,
103,2013,100,2431,1334,54.874537227478406,
104,2014,100,2430,1315,54.11522633744856,
105,2015,100,2429,1304,53.684643886372996,
106,2016,100,2428,1322,54.448105436573314,
107,2017,100,2430,1343,55.26748971193416,
108,0,150,14909,8088,54.24911127506875,All Seasons
109,2010,150,0,0,,
110,2011,150,331,156,47.129909365558916,
111,2012,150,2430,1343,55.26748971193416,
112,2013,150,2431,1354,55.69724393253806,
113,2014,150,2430,1326,54.567901234567906,
114,2015,150,2429,1288,53.02593659942363,
115,2016,150,2428,1294,53.29489291598023,
116,2017,150,2430,1327,54.609053497942384,
117,0,200,13405,7298,54.44237224916076,All Seasons
118,2010,200,0,0,,
119,2011,200,0,0,,
120,2012,200,1257,709,56.40413683373111,
121,2013,200,2431,1352,55.61497326203209,
122,2014,200,2430,1334,54.89711934156378,
123,2015,200,2429,1256,51.70852202552491,
124,2016,200,2428,1305,53.74794069192751,
125,2017,200,2430,1342,55.22633744855967,
126,0,300,10396,5456,52.48172373989996,All Seasons
127,2010,300,0,0,,
128,2011,300,0,0,,
129,2012,300,0,0,,
130,2013,300,679,385,56.70103092783505,
131,2014,300,2430,1274,52.42798353909465,
132,2015,300,2429,1211,49.85590778097983,
133,2016,300,2428,1259,51.853377265238876,
134,2017,300,2430,1327,54.609053497942384,
135,0,400,7406,3856,52.06589251957872,All Seasons
136,2010,400,0,0,,
137,2011,400,0,0,,
138,2012,400,0,0,,
139,2013,400,0,0,,
140,2014,400,119,62,52.10084033613446,
141,2015,400,2429,1222,50.30876904075752,
142,2016,400,2428,1267,52.182866556836906,
143,2017,400,2430,1305,53.70370370370371,
144,0,500,4406,2368,53.744893327280984,All Seasons
145,2010,500,0,0,,
146,2011,500,0,0,,
147,2012,500,0,0,,
148,2013,500,0,0,,
149,2014,500,0,0,,
150,2015,500,0,0,,
151,2016,500,1976,1061,53.69433198380567,
152,2017,500,2430,1307,53.78600823045267,
