,Season,Lookback,Net,Num Games,Num Correct,% Correct,Comment
0,0,50,False,17900,9383,52.41899441340783,All Seasons
1,2010,50,False,893,488,54.64725643896976,
2,2011,50,False,2429,1288,53.02593659942363,
3,2012,50,False,2430,1242,51.11111111111111,
4,2013,50,False,2431,1309,53.84615384615385,
5,2014,50,False,2430,1254,51.60493827160494,
6,2015,50,False,2429,1262,51.95553725813091,
7,2016,50,False,2428,1294,53.29489291598023,
8,2017,50,False,2430,1246,51.27572016460905,
9,0,60,False,17604,9258,52.59032038173142,All Seasons
10,2010,60,False,597,328,54.941373534338354,
11,2011,60,False,2429,1291,53.14944421572664,
12,2012,60,False,2430,1243,51.1522633744856,
13,2013,60,False,2431,1302,53.55820649938296,
14,2014,60,False,2430,1264,52.016460905349795,
15,2015,60,False,2429,1262,51.95553725813091,
16,2016,60,False,2428,1272,52.38879736408567,
17,2017,60,False,2430,1296,53.333333333333336,
18,0,70,False,17301,9180,53.06051673313681,All Seasons
19,2010,70,False,294,165,56.12244897959183,
20,2011,70,False,2429,1311,53.972828324413335,
21,2012,70,False,2430,1274,52.42798353909465,
22,2013,70,False,2431,1301,53.517071164129995,
23,2014,70,False,2430,1281,52.716049382716044,
24,2015,70,False,2429,1267,52.1613832853026,
25,2016,70,False,2428,1307,53.83031301482701,
26,2017,70,False,2430,1274,52.42798353909465,
27,0,80,False,17027,9013,52.9335760850414,All Seasons
28,2010,80,False,20,10,50.0,
29,2011,80,False,2429,1328,54.67270481679704,
30,2012,80,False,2430,1266,52.09876543209877,
31,2013,80,False,2431,1298,53.39366515837104,
32,2014,80,False,2430,1271,52.30452674897119,
33,2015,80,False,2429,1272,52.36722931247427,
34,2016,80,False,2428,1305,53.74794069192751,
35,2017,80,False,2430,1263,51.9753086419753,
36,0,90,False,16701,8847,52.97287587569607,All Seasons
37,2010,90,False,0,0,,
38,2011,90,False,2123,1149,54.12152614225153,
39,2012,90,False,2430,1257,51.72839506172839,
40,2013,90,False,2431,1288,52.98231180584122,
41,2014,90,False,2430,1290,53.086419753086425,
42,2015,90,False,2429,1257,51.749691230959236,
43,2016,90,False,2428,1319,54.324546952224054,
44,2017,90,False,2430,1287,52.96296296296297,
45,0,100,False,16397,8653,52.771848508873575,All Seasons
46,2010,100,False,0,0,,
47,2011,100,False,1819,996,54.75536008796041,
48,2012,100,False,2430,1266,52.09876543209877,
49,2013,100,False,2431,1302,53.55820649938296,
50,2014,100,False,2430,1278,52.59259259259259,
51,2015,100,False,2429,1243,51.17332235487855,
52,2016,100,False,2428,1292,53.212520593080725,
53,2017,100,False,2430,1276,52.510288065843625,
