,Season,Lookback,Net,Num Games,Num Correct,% Correct,Comment,Predictor
0,0,5,False,19437,10192,52.436075526058545,All Seasons,Net or Raw Points (see Net)
1,2010,5,False,2430,1270,52.2633744855967,All Seasons,Pitcher
2,2011,5,False,2429,1264,52.03787566899959,All Seasons,Pitcher
3,2012,5,False,2430,1263,51.9753086419753,All Seasons,Pitcher
4,2013,5,False,2431,1286,52.90004113533525,All Seasons,Pitcher
5,2014,5,False,2430,1281,52.716049382716044,All Seasons,Pitcher
6,2015,5,False,2429,1243,51.17332235487855,All Seasons,Pitcher
7,2016,5,False,2428,1315,54.15980230642504,All Seasons,Pitcher
8,2017,5,False,2430,1270,52.2633744855967,All Seasons,Pitcher
9,0,10,False,19437,10354,53.2695374800638,All Seasons,Net or Raw Points (see Net)
10,2010,10,False,2430,1331,54.773662551440324,All Seasons,Pitcher
11,2011,10,False,2429,1250,51.4615067929189,All Seasons,Pitcher
12,2012,10,False,2430,1285,52.88065843621399,All Seasons,Pitcher
13,2013,10,False,2431,1266,52.0773344302756,All Seasons,Pitcher
14,2014,10,False,2430,1321,54.36213991769547,All Seasons,Pitcher
15,2015,10,False,2429,1274,52.44956772334294,All Seasons,Pitcher
16,2016,10,False,2428,1343,55.31301482701812,All Seasons,Pitcher
17,2017,10,False,2430,1284,52.8395061728395,All Seasons,Pitcher
18,0,20,False,19437,10420,53.60909605391778,All Seasons,Net or Raw Points (see Net)
19,2010,20,False,2430,1358,55.884773662551446,All Seasons,Pitcher
20,2011,20,False,2429,1301,53.56113627006999,All Seasons,Pitcher
21,2012,20,False,2430,1315,54.11522633744856,All Seasons,Pitcher
22,2013,20,False,2431,1241,51.048951048951054,All Seasons,Pitcher
23,2014,20,False,2430,1310,53.90946502057613,All Seasons,Pitcher
24,2015,20,False,2429,1283,52.82009057225196,All Seasons,Pitcher
25,2016,20,False,2428,1335,54.9835255354201,All Seasons,Pitcher
26,2017,20,False,2430,1277,52.5514403292181,All Seasons,Pitcher
27,0,30,False,19437,10394,53.475330555126824,All Seasons,Net or Raw Points (see Net)
28,2010,30,False,2430,1358,55.884773662551446,All Seasons,Pitcher
29,2011,30,False,2429,1286,52.943598188554965,All Seasons,Pitcher
30,2012,30,False,2430,1324,54.48559670781893,All Seasons,Pitcher
31,2013,30,False,2431,1242,51.090086384204035,All Seasons,Pitcher
32,2014,30,False,2430,1284,52.8395061728395,All Seasons,Pitcher
33,2015,30,False,2429,1296,53.35529024289831,All Seasons,Pitcher
34,2016,30,False,2428,1317,54.242174629324545,All Seasons,Pitcher
35,2017,30,False,2430,1287,52.96296296296297,All Seasons,Pitcher
36,0,40,False,19437,10391,53.459896074497095,All Seasons,Net or Raw Points (see Net)
37,2010,40,False,2430,1358,55.884773662551446,All Seasons,Pitcher
38,2011,40,False,2429,1276,52.53190613421162,All Seasons,Pitcher
39,2012,40,False,2430,1306,53.74485596707819,All Seasons,Pitcher
40,2013,40,False,2431,1268,52.15960510078157,All Seasons,Pitcher
41,2014,40,False,2430,1285,52.88065843621399,All Seasons,Pitcher
42,2015,40,False,2429,1313,54.055166735282015,All Seasons,Pitcher
43,2016,40,False,2428,1326,54.61285008237232,All Seasons,Pitcher
44,2017,40,False,2430,1259,51.81069958847737,All Seasons,Pitcher
45,0,50,False,19437,10434,53.681123630189845,All Seasons,Net or Raw Points (see Net)
46,2010,50,False,2430,1358,55.884773662551446,All Seasons,Pitcher
47,2011,50,False,2429,1276,52.53190613421162,All Seasons,Pitcher
48,2012,50,False,2430,1291,53.1275720164609,All Seasons,Pitcher
49,2013,50,False,2431,1311,53.92842451665981,All Seasons,Pitcher
50,2014,50,False,2430,1299,53.456790123456784,All Seasons,Pitcher
51,2015,50,False,2429,1308,53.84932070811034,All Seasons,Pitcher
52,2016,50,False,2428,1311,53.99505766062603,All Seasons,Pitcher
53,2017,50,False,2430,1280,52.674897119341566,All Seasons,Pitcher
54,0,60,False,19437,10456,53.794309821474506,All Seasons,Net or Raw Points (see Net)
