,Season,Lookback,Net,Num Games,Num Correct,% Correct,Comment,Home Predict %,Home Win %,Predictor
0,0,1,False,19399,9940,51.239754626527144,All Seasons,54.84818805093046,53.68833445022939,Net or Raw Points (see Net)
1,2010,1,False,2392,1238,51.75585284280937,All Seasons,56.312709030100336,55.81103678929766,Points
2,2011,1,False,2429,1227,50.51461506792919,All Seasons,54.01399752984768,52.53190613421162,Points
3,2012,1,False,2430,1281,52.716049382716044,All Seasons,54.32098765432099,53.29218106995884,Points
4,2013,1,False,2431,1246,51.25462772521596,All Seasons,54.380913204442614,53.763883175647884,Points
5,2014,1,False,2430,1202,49.465020576131685,All Seasons,54.89711934156378,53.00411522633745,Points
6,2015,1,False,2429,1242,51.132153149444214,All Seasons,55.37258130918074,54.17867435158501,Points
7,2016,1,False,2428,1263,52.018121911037895,All Seasons,54.69522240527183,53.006589785831956,Points
8,2017,1,False,2430,1241,51.06995884773663,All Seasons,54.81481481481482,53.95061728395062,Points
9,0,2,False,19361,9996,51.62956458860596,All Seasons,55.916533236919584,53.71106864314859,Net or Raw Points (see Net)
10,2010,2,False,2354,1230,52.25148683092608,All Seasons,58.24129141886151,56.03228547153781,Points
11,2011,2,False,2429,1230,50.63812268423219,All Seasons,54.96088925483738,52.53190613421162,Points
12,2012,2,False,2430,1303,53.62139917695473,All Seasons,57.28395061728395,53.29218106995884,Points
13,2013,2,False,2431,1245,51.21349238996298,All Seasons,55.080213903743314,53.763883175647884,Points
14,2014,2,False,2430,1224,50.37037037037037,All Seasons,55.06172839506173,53.00411522633745,Points
15,2015,2,False,2429,1237,50.92630712227254,All Seasons,55.907780979827095,54.17867435158501,Points
16,2016,2,False,2428,1245,51.27677100494233,All Seasons,55.10708401976936,53.006589785831956,Points
17,2017,2,False,2430,1282,52.757201646090536,All Seasons,55.76131687242798,53.95061728395062,Points
18,0,5,False,19275,9891,51.31517509727627,All Seasons,54.69779507133593,53.72243839169909,Net or Raw Points (see Net)
19,2010,5,False,2268,1156,50.970017636684304,All Seasons,58.245149911816576,56.21693121693122,Points
20,2011,5,False,2429,1244,51.214491560312894,All Seasons,52.243721696171264,52.53190613421162,Points
21,2012,5,False,2430,1279,52.63374485596708,All Seasons,54.89711934156378,53.29218106995884,Points
22,2013,5,False,2431,1224,50.349650349650354,All Seasons,52.653229123817354,53.763883175647884,Points
23,2014,5,False,2430,1260,51.85185185185185,All Seasons,54.074074074074076,53.00411522633745,Points
24,2015,5,False,2429,1215,50.020584602717165,All Seasons,55.907780979827095,54.17867435158501,Points
25,2016,5,False,2428,1236,50.90609555189456,All Seasons,53.17133443163097,53.006589785831956,Points
26,2017,5,False,2430,1277,52.5514403292181,All Seasons,56.62551440329218,53.95061728395062,Points
27,0,10,False,19099,9848,51.56290905282999,All Seasons,54.88245457877375,53.67296717105607,Net or Raw Points (see Net)
28,2010,10,False,2092,1075,51.38623326959847,All Seasons,58.69980879541109,55.975143403441685,Points
29,2011,10,False,2429,1267,52.1613832853026,All Seasons,52.28489090160559,52.53190613421162,Points
30,2012,10,False,2430,1258,51.769547325102884,All Seasons,54.52674897119342,53.29218106995884,Points
31,2013,10,False,2431,1246,51.25462772521596,All Seasons,54.792266556972436,53.763883175647884,Points
32,2014,10,False,2430,1228,50.53497942386831,All Seasons,51.85185185185185,53.00411522633745,Points
33,2015,10,False,2429,1264,52.03787566899959,All Seasons,56.937011115685465,54.17867435158501,Points
34,2016,10,False,2428,1239,51.02965403624382,All Seasons,53.37726523887974,53.006589785831956,Points
35,2017,10,False,2430,1271,52.30452674897119,All Seasons,57.11934156378601,53.95061728395062,Points
36,0,20,False,18808,9753,51.85559336452573,All Seasons,54.80114844746916,53.668651637601016,Net or Raw Points (see Net)
37,2010,20,False,1801,944,52.41532481954469,All Seasons,59.68906163242643,56.30205441421433,Points
38,2011,20,False,2429,1261,51.91436805269658,All Seasons,49.979415397282835,52.53190613421162,Points
39,2012,20,False,2430,1271,52.30452674897119,All Seasons,54.32098765432099,53.29218106995884,Points
40,2013,20,False,2431,1277,52.52982311805842,All Seasons,53.92842451665981,53.763883175647884,Points
41,2014,20,False,2430,1243,51.1522633744856,All Seasons,52.38683127572017,53.00411522633745,Points
42,2015,20,False,2429,1226,50.473445862494856,All Seasons,59.57184026348291,54.17867435158501,Points
43,2016,20,False,2428,1278,52.63591433278418,All Seasons,53.088962108731465,53.006589785831956,Points
44,2017,20,False,2430,1253,51.56378600823045,All Seasons,56.70781893004116,53.95061728395062,Points
45,0,50,False,17900,9383,52.41899441340783,All Seasons,55.91061452513967,53.4804469273743,Net or Raw Points (see Net)
46,2010,50,False,893,488,54.64725643896976,All Seasons,66.06942889137738,55.20716685330347,Points
47,2011,50,False,2429,1288,53.02593659942363,All Seasons,52.40839851790861,52.53190613421162,Points
48,2012,50,False,2430,1242,51.11111111111111,All Seasons,54.8559670781893,53.29218106995884,Points
49,2013,50,False,2431,1309,53.84615384615385,All Seasons,57.877416700946114,53.763883175647884,Points
50,2014,50,False,2430,1254,51.60493827160494,All Seasons,49.465020576131685,53.00411522633745,Points
51,2015,50,False,2429,1262,51.95553725813091,All Seasons,60.47756278303829,54.17867435158501,Points
52,2016,50,False,2428,1294,53.29489291598023,All Seasons,52.34761120263591,53.006589785831956,Points
53,2017,50,False,2430,1246,51.27572016460905,All Seasons,60.20576131687243,53.95061728395062,Points
54,0,100,False,16397,8653,52.771848508873575,All Seasons,54.528267365981584,53.454900286637795,Net or Raw Points (see Net)
55,2011,100,False,1819,996,54.75536008796041,All Seasons,54.86531061022541,52.83122594832326,Points
56,2012,100,False,2430,1266,52.09876543209877,All Seasons,48.76543209876543,53.29218106995884,Points
57,2013,100,False,2431,1302,53.55820649938296,All Seasons,58.82352941176471,53.763883175647884,Points
58,2014,100,False,2430,1278,52.59259259259259,All Seasons,50.617283950617285,53.00411522633745,Points
59,2015,100,False,2429,1243,51.17332235487855,All Seasons,57.96624125154385,54.17867435158501,Points
60,2016,100,False,2428,1292,53.212520593080725,All Seasons,52.67710049423394,53.006589785831956,Points
61,2017,100,False,2430,1276,52.510288065843625,All Seasons,58.06584362139918,53.95061728395062,Points
