,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V NP Avg,H NP Avg
50,20100409,CLE,AL,DET,AL,2,5,huffd001,porcr001,True,-3,3,,
65,20100410,CLE,AL,DET,AL,2,4,talbm001,bondj001,True,-2,2,,
80,20100411,CLE,AL,DET,AL,8,9,westj001,verlj001,True,-1,1,,
94,20100412,KCA,AL,DET,AL,10,5,hochl001,schem001,False,5,-5,,
105,20100413,KCA,AL,DET,AL,5,6,bannb001,willd003,True,-1,1,,
115,20100414,KCA,AL,DET,AL,7,3,davik002,porcr001,False,4,-4,,
291,20100427,MIN,AL,DET,AL,2,0,lirif001,verlj001,False,2,-2,1.7,
307,20100428,MIN,AL,DET,AL,6,11,bakes002,schem001,True,-5,5,2.2,
321,20100429,MIN,AL,DET,AL,0,3,pavac001,willd003,True,-3,3,1.5,
332,20100430,ANA,AL,DET,AL,6,10,pinej001,porcr001,True,-4,4,,
347,20100501,ANA,AL,DET,AL,2,3,kazms001,bondj001,True,-1,1,,0.8
362,20100502,ANA,AL,DET,AL,1,5,weavj003,verlj001,True,-4,4,,0.6
472,20100510,NYA,AL,DET,AL,4,5,mitrs001,thomb001,True,-1,1,1.8,0.8
495,20100512,NYA,AL,DET,AL,0,2,vazqj001,porcr001,True,-2,2,1.9,0.8
496,20100512,NYA,AL,DET,AL,8,0,hughp001,bondj001,False,8,-8,1.9,1.5
509,20100513,NYA,AL,DET,AL,0,6,sabac001,verlj001,True,-6,6,2.1,0.6
518,20100514,BOS,AL,DET,AL,7,2,buchc001,schem001,False,5,-5,-0.7,1.6
532,20100515,BOS,AL,DET,AL,6,7,lestj001,willd003,True,-1,1,-0.4,1.3
548,20100516,BOS,AL,DET,AL,1,5,lackj001,galaa002,True,-4,4,-0.2,0.9
576,20100518,CHA,AL,DET,AL,6,2,garcf002,porcr001,False,4,-4,-1.3,1.0
713,20100528,OAK,AL,DET,AL,5,4,sheeb001,willd003,False,1,-1,-2.9,0.2
728,20100529,OAK,AL,DET,AL,6,0,andeb004,porcr001,False,6,-6,-2.2,0.0
743,20100530,OAK,AL,DET,AL,2,10,bradd002,schem001,True,-8,8,-1.7,-1.0
756,20100531,OAK,AL,DET,AL,4,1,cahit001,verlj001,False,3,-3,-1.6,-0.3
771,20100601,CLE,AL,DET,AL,3,2,westj001,bondj001,False,1,-1,-2.1,-0.8
786,20100602,CLE,AL,DET,AL,0,3,carmf001,galaa002,True,-3,3,-1.8,-0.1
800,20100603,CLE,AL,DET,AL,6,12,huffd001,porcr001,True,-6,6,-1.4,-0.4
907,20100611,PIT,NL,DET,AL,2,6,ohler001,verlj001,True,-4,4,-2.8,0.7
922,20100612,PIT,NL,DET,AL,3,4,mahop002,bondj001,True,-1,1,-3.0,1.0
937,20100613,PIT,NL,DET,AL,3,4,karsj001,galaa002,True,-1,1,-3.2,0.7
956,20100615,WAS,NL,DET,AL,4,7,lannj001,schem001,True,-3,3,-0.4,1.2
971,20100616,WAS,NL,DET,AL,3,8,hernl003,verlj001,True,-5,5,-0.9,1.6
985,20100617,WAS,NL,DET,AL,3,8,atill001,bondj001,True,-5,5,-1.2,2.7
995,20100618,ARI,NL,DET,AL,5,7,willd003,galaa002,True,-2,2,-3.6,2.4
1010,20100619,ARI,NL,DET,AL,6,5,jacke001,porcr001,False,1,-1,-3.2,2.9
1025,20100620,ARI,NL,DET,AL,1,3,kenni001,schem001,True,-2,2,-2.6,2.9
1184,20100702,SEA,AL,DET,AL,1,7,fistd001,schem001,True,-6,6,-0.4,2.8
1199,20100703,SEA,AL,DET,AL,1,6,vargj001,verlj001,True,-5,5,-1.2,2.8
1214,20100704,SEA,AL,DET,AL,8,1,lee-c003,bondj001,False,7,-7,-1.1,2.9
1227,20100705,BAL,AL,DET,AL,9,12,millk004,oliva002,True,-3,3,-1.8,2.1
1238,20100706,BAL,AL,DET,AL,5,7,arrij001,galaa002,True,-2,2,-1.8,2.3
1253,20100707,BAL,AL,DET,AL,2,4,bergb002,schem001,True,-2,2,-1.2,2.2
1280,20100709,MIN,AL,DET,AL,3,7,lirif001,verlj001,True,-4,4,-1.6,1.9
1295,20100710,MIN,AL,DET,AL,4,7,blacn001,bondj001,True,-3,3,-2.3,1.8
