,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V NP Avg,H NP Avg
12,20100405,LAN,NL,PIT,NL,5,11,padiv001,dukez001,True,-6,6,,
34,20100407,LAN,NL,PIT,NL,3,4,kersc001,ohler001,True,-1,1,,
45,20100408,LAN,NL,PIT,NL,10,2,billc001,mahop002,False,8,-8,,
57,20100409,LAN,NL,MIA,NL,7,3,kuroh001,volsc001,False,4,-4,,
72,20100410,LAN,NL,MIA,NL,6,7,padiv001,johnj009,True,-1,1,,
87,20100411,LAN,NL,MIA,NL,5,6,haegc001,sanca004,True,-1,1,,
202,20100420,LAN,NL,CIN,NL,9,11,billc001,bailh001,True,-2,2,,
217,20100421,LAN,NL,CIN,NL,14,6,kuroh001,haraa001,False,8,-8,,
229,20100422,LAN,NL,CIN,NL,5,8,padiv001,leakm001,True,-3,3,,
247,20100423,LAN,NL,WAS,NL,1,5,haegc001,atill001,True,-4,4,,0.4
263,20100424,LAN,NL,WAS,NL,4,3,kersc001,stamc001,False,1,-1,0.2,0.7
278,20100425,LAN,NL,WAS,NL,0,1,billc001,olses001,True,-1,1,0.9,0.7
301,20100427,LAN,NL,NYN,NL,0,4,kuroh001,santj003,True,-4,4,0.9,1.2
302,20100427,LAN,NL,NYN,NL,5,10,haegc001,pereo002,True,-5,5,-0.3,1.8
317,20100428,LAN,NL,NYN,NL,3,7,ely-j001,mainj001,True,-4,4,-1.2,2.5
473,20100510,LAN,NL,ARI,NL,7,3,billc001,loper001,False,4,-4,-1.5,-2.5
485,20100511,LAN,NL,ARI,NL,13,3,ely-j001,hared001,False,10,-10,-1.0,-3.3
500,20100512,LAN,NL,ARI,NL,6,3,kuroh001,jacke001,False,3,-3,0.2,-3.8
528,20100514,LAN,NL,SDN,NL,4,3,ortir002,garlj001,False,1,-1,-0.3,1.9
544,20100515,LAN,NL,SDN,NL,4,1,kersc001,corrk001,False,3,-3,0.1,1.5
559,20100516,LAN,NL,SDN,NL,1,0,billc001,leblw001,False,1,-1,0.8,1.1
676,20100525,LAN,NL,CHN,NL,0,3,kersc001,dempr002,True,-3,3,0.8,0.8
691,20100526,LAN,NL,CHN,NL,8,5,billc001,gorzt001,False,3,-3,0.6,0.0
703,20100527,LAN,NL,CHN,NL,0,1,ely-j001,lillt001,True,-1,1,1.3,0.3
