,Date,Visiting Team,Visiting League,Home Team,Home League,Visiting Score,Home Score,V Start Pitcher ID,H Start Pitcher ID,Home Winner,V NetRuns,H NetRuns,V NP Avg,H NP Avg
0,20100404,NYA,AL,BOS,AL,7,9,sabac001,beckj002,True,-2,2,,
1,20100405,MIN,AL,ANA,AL,3,6,bakes002,weavj003,True,-3,3,,
2,20100405,CLE,AL,CHA,AL,0,6,westj001,buehm001,True,-6,6,,
3,20100405,DET,AL,KCA,AL,8,4,verlj001,greiz001,False,4,-4,,
4,20100405,SEA,AL,OAK,AL,5,3,hernf002,sheeb001,False,2,-2,,
5,20100405,TOR,AL,TEX,AL,4,5,marcs001,felds001,True,-1,1,,
6,20100405,SDN,NL,ARI,NL,3,6,garlj001,hared001,True,-3,3,,
7,20100405,CHN,NL,ATL,NL,5,16,zambc001,lowed001,True,-11,11,,
8,20100405,SLN,NL,CIN,NL,11,6,carpc002,haraa001,False,5,-5,,
9,20100405,SFN,NL,HOU,NL,5,2,linct001,oswar001,False,3,-3,,
10,20100405,COL,NL,MIL,NL,5,3,jimeu001,gally001,False,2,-2,,
11,20100405,MIA,NL,NYN,NL,1,7,johnj009,santj003,True,-6,6,,
12,20100405,LAN,NL,PIT,NL,5,11,padiv001,dukez001,True,-6,6,,
13,20100405,PHI,NL,WAS,NL,11,1,hallr001,lannj001,False,10,-10,,
14,20100406,MIN,AL,ANA,AL,5,3,blacn001,saunj001,False,2,-2,,
15,20100406,NYA,AL,BOS,AL,6,4,burna001,lestj001,False,2,-2,,
16,20100406,SEA,AL,OAK,AL,1,2,sneli001,bradd002,True,-1,1,,
17,20100406,BAL,AL,TBA,AL,3,4,millk004,shiej002,True,-1,1,,
18,20100406,SDN,NL,ARI,NL,6,3,younc003,jacke001,False,3,-3,,
19,20100406,SFN,NL,HOU,NL,3,0,zitob001,rodrw002,False,3,-3,,
20,20100406,COL,NL,MIL,NL,5,7,smitg002,wolfr001,True,-2,2,,
21,20100407,MIN,AL,ANA,AL,4,2,pavac001,sante001,False,2,-2,,
22,20100407,NYA,AL,BOS,AL,3,1,petta001,lackj001,False,2,-2,,
23,20100407,CLE,AL,CHA,AL,5,3,carmf001,peavj001,False,2,-2,,
24,20100407,DET,AL,KCA,AL,2,3,schem001,hochl001,True,-1,1,,
25,20100407,SEA,AL,OAK,AL,5,6,rowlr002,duchj001,True,-1,1,,
26,20100407,BAL,AL,TBA,AL,3,4,guthj001,garzm001,True,-1,1,,
27,20100407,TOR,AL,TEX,AL,7,4,tallb001,hardr001,False,3,-3,,
28,20100407,SDN,NL,ARI,NL,3,5,corrk001,kenni001,True,-2,2,,
29,20100407,CHN,NL,ATL,NL,2,3,dempr002,jurrj001,True,-1,1,,
30,20100407,SLN,NL,CIN,NL,6,3,waina001,cuetj001,False,3,-3,,
31,20100407,SFN,NL,HOU,NL,10,4,cainm001,myerb001,False,6,-6,,
32,20100407,COL,NL,MIL,NL,4,5,cooka002,david002,True,-1,1,,
33,20100407,MIA,NL,NYN,NL,7,6,nolar001,mainj001,False,1,-1,,
34,20100407,LAN,NL,PIT,NL,3,4,kersc001,ohler001,True,-1,1,,
35,20100407,PHI,NL,WAS,NL,8,4,hamec001,marqj001,False,4,-4,,
36,20100408,MIN,AL,ANA,AL,10,1,slowk001,pinej001,False,9,-9,,
37,20100408,CLE,AL,CHA,AL,5,3,mastj001,floyg001,False,2,-2,,
38,20100408,DET,AL,KCA,AL,7,3,willd003,bannb001,False,4,-4,,
39,20100408,SEA,AL,OAK,AL,2,6,fistd001,andeb004,True,-4,4,,
40,20100408,BAL,AL,TBA,AL,5,4,matub001,niemj001,False,1,-1,,
41,20100408,TOR,AL,TEX,AL,3,1,romer002,wilsc004,False,2,-2,,
42,20100408,CHN,NL,ATL,NL,2,0,wellr001,hanst001,False,2,-2,,
43,20100408,SLN,NL,CIN,NL,1,2,pennb002,arrob001,True,-1,1,,
44,20100408,MIA,NL,NYN,NL,3,1,roben001,niesj001,False,2,-2,,
45,20100408,LAN,NL,PIT,NL,10,2,billc001,mahop002,False,8,-8,,
46,20100408,PHI,NL,WAS,NL,5,6,kendk001,stamc001,True,-1,1,,
47,20100409,OAK,AL,ANA,AL,10,4,gonzg003,palmm001,False,6,-6,,
48,20100409,TOR,AL,BAL,AL,7,6,morrb001,bergb002,False,1,-1,,
49,20100409,MIN,AL,CHA,AL,4,3,lirif001,dankj001,False,1,-1,,
50,20100409,CLE,AL,DET,AL,2,5,huffd001,porcr001,True,-3,3,,
51,20100409,BOS,AL,KCA,AL,3,4,waket001,davik002,True,-1,1,,
52,20100409,NYA,AL,TBA,AL,3,9,vazqj001,pricd001,True,-6,6,,
53,20100409,SEA,AL,TEX,AL,2,6,vargj001,lewic001,True,-4,4,,
54,20100409,PIT,NL,ARI,NL,1,9,mortc002,loper001,True,-8,8,,
55,20100409,CHN,NL,CIN,NL,4,5,silvc001,bailh001,True,-1,1,,
