,Season,Lookback,Num Games,Num Correct,% Correct,Timestamp,Run Duration,Comment
0,2011,10,2429,1499,61.712638946068346,2020-01-06 00:01:20.420615,0 days 00:00:53.686467000,
1,2012,10,2430,1508,62.05761316872428,2020-01-06 00:02:14.119112,0 days 00:00:54.590875000,
2,2013,10,2431,1518,62.44343891402715,2020-01-06 00:03:08.714069,0 days 00:00:53.688826000,
3,2014,10,2430,1520,62.55144032921811,2020-01-06 00:04:02.406899,0 days 00:00:53.993786000,
4,2015,10,2429,1521,62.61836146562372,2020-01-06 00:04:56.404497,0 days 00:00:53.504958000,
5,2016,10,2428,1528,62.932454695222404,2020-01-06 00:05:49.912829,0 days 00:00:54.440898000,
6,2017,10,2430,1550,63.78600823045267,2020-01-06 00:06:44.357712,0 days 00:00:53.317422000,
7,2011,25,2429,1343,55.29024289831206,2020-01-06 00:07:37.679194,0 days 00:00:58.103725000,
8,2012,25,2430,1407,57.90123456790124,2020-01-06 00:08:35.786476,0 days 00:01:02.049169000,
9,2013,25,2431,1370,56.35540929658577,2020-01-06 00:09:37.839891,0 days 00:01:01.231869000,
10,2014,25,2430,1409,57.983539094650205,2020-01-06 00:10:39.075402,0 days 00:00:59.007064000,
11,2015,25,2429,1400,57.636887608069166,2020-01-06 00:11:38.086058,0 days 00:01:02.858760000,
12,2016,25,2428,1376,56.672158154859964,2020-01-06 00:12:40.948142,0 days 00:00:58.135653000,
13,2017,25,2430,1382,56.8724279835391,2020-01-06 00:13:39.087426,0 days 00:00:59.239060000,
14,2011,50,2429,1310,53.931659118979006,2020-01-06 00:14:38.330755,0 days 00:01:06.095928000,
15,2012,50,2430,1387,57.078189300411516,2020-01-06 00:15:44.430858,0 days 00:01:05.089484000,
16,2013,50,2431,1338,55.03907856849033,2020-01-06 00:16:49.524299,0 days 00:01:04.810633000,
17,2014,50,2430,1368,56.2962962962963,2020-01-06 00:17:54.338681,0 days 00:01:05.954728000,
18,2015,50,2429,1370,56.40181144503911,2020-01-06 00:19:00.297304,0 days 00:01:04.318387000,
19,2016,50,2428,1343,55.31301482701812,2020-01-06 00:20:04.619227,0 days 00:01:04.368436000,
20,2017,50,2430,1329,54.69135802469136,2020-01-06 00:21:08.991449,0 days 00:01:04.889841000,
21,2011,100,2429,1270,52.28489090160559,2020-01-06 00:22:13.885399,0 days 00:01:19.218696000,
22,2012,100,2430,1363,56.090534979423865,2020-01-06 00:23:33.107550,0 days 00:01:24.354864000,
23,2013,100,2431,1290,53.06458247634718,2020-01-06 00:24:57.466489,0 days 00:01:22.121801000,
24,2014,100,2430,1349,55.51440329218107,2020-01-06 00:26:19.594613,0 days 00:01:23.643695000,
25,2015,100,2429,1337,55.04322766570605,2020-01-06 00:27:43.242033,0 days 00:01:22.849681000,
26,2016,100,2428,1309,53.91268533772653,2020-01-06 00:29:06.095513,0 days 00:01:23.058869000,
27,2017,100,2430,1340,55.144032921810705,2020-01-06 00:30:29.158372,0 days 00:01:22.721213000,
