,Season,Lookback,Num Games,Num Correct,% Correct,Timestamp,Run Duration,Comment
0,2011,1,2429,1153,47.46809386578839,2020-01-06 23:57:41.959736,0 days 00:00:48.485387000,"npp, FLO fix included."
1,2012,1,2430,1135,46.70781893004115,2020-01-06 23:58:30.448600,0 days 00:00:49.743886000,"npp, FLO fix included."
2,2013,1,2431,1124,46.236116824352116,2020-01-06 23:59:20.197113,0 days 00:00:49.725164000,"npp, FLO fix included."
3,2014,1,2430,1142,46.99588477366255,2020-01-07 00:00:09.926086,0 days 00:00:49.785426000,"npp, FLO fix included."
4,2015,1,2429,1113,45.821325648414984,2020-01-07 00:00:59.715606,0 days 00:00:49.123149000,"npp, FLO fix included."
5,2016,1,2428,1141,46.993410214168044,2020-01-07 00:01:48.843909,0 days 00:00:49.216670000,"npp, FLO fix included."
6,2017,1,2430,1119,46.04938271604938,2020-01-07 00:02:38.064151,0 days 00:00:49.219103000,"npp, FLO fix included."
7,2011,2,2429,1222,50.30876904075752,2020-01-07 00:03:27.288031,0 days 00:00:49.628986000,"npp, FLO fix included."
8,2012,2,2430,1190,48.971193415637856,2020-01-07 00:04:16.920553,0 days 00:00:50.262090000,"npp, FLO fix included."
9,2013,2,2431,1212,49.85602632661456,2020-01-07 00:05:07.186823,0 days 00:00:49.463398000,"npp, FLO fix included."
10,2014,2,2430,1212,49.876543209876544,2020-01-07 00:05:56.654071,0 days 00:00:50.119885000,"npp, FLO fix included."
11,2015,2,2429,1179,48.5384932070811,2020-01-07 00:06:46.777519,0 days 00:00:50.023454000,"npp, FLO fix included."
12,2016,2,2428,1213,49.95881383855025,2020-01-07 00:07:36.804505,0 days 00:00:49.808030000,"npp, FLO fix included."
13,2017,2,2430,1175,48.35390946502058,2020-01-07 00:08:26.616031,0 days 00:00:49.453705000,"npp, FLO fix included."
14,2011,5,2429,1393,57.34870317002881,2020-01-07 00:09:16.073501,0 days 00:00:50.636452000,"npp, FLO fix included."
15,2012,5,2430,1414,58.18930041152264,2020-01-07 00:10:06.713488,0 days 00:00:52.705020000,"npp, FLO fix included."
16,2013,5,2431,1416,58.247634718222955,2020-01-07 00:10:59.422409,0 days 00:00:51.281547000,"npp, FLO fix included."
17,2014,5,2430,1415,58.230452674897116,2020-01-07 00:11:50.708068,0 days 00:00:51.791895000,"npp, FLO fix included."
18,2015,5,2429,1403,57.760395224372175,2020-01-07 00:12:42.504654,0 days 00:00:50.909305000,"npp, FLO fix included."
19,2016,5,2428,1410,58.07248764415156,2020-01-07 00:13:33.417453,0 days 00:00:51.095300000,"npp, FLO fix included."
20,2017,5,2430,1374,56.54320987654321,2020-01-07 00:14:24.516579,0 days 00:00:50.150524000,"npp, FLO fix included."
21,2011,6,2429,1440,59.28365582544257,2020-01-07 00:15:14.670477,0 days 00:00:50.290012000,"npp, FLO fix included."
22,2012,6,2430,1456,59.91769547325103,2020-01-07 00:16:04.964602,0 days 00:00:51.174840000,"npp, FLO fix included."
23,2013,6,2431,1457,59.934183463595225,2020-01-07 00:16:56.143449,0 days 00:00:51.645936000,"npp, FLO fix included."
24,2014,6,2430,1453,59.794238683127574,2020-01-07 00:17:47.793195,0 days 00:00:51.590854000,"npp, FLO fix included."
25,2015,6,2429,1442,59.36599423631124,2020-01-07 00:18:39.387564,0 days 00:00:50.431487000,"npp, FLO fix included."
26,2016,6,2428,1443,59.43163097199341,2020-01-07 00:19:29.822991,0 days 00:00:50.433819000,"npp, FLO fix included."
27,2017,6,2430,1440,59.25925925925925,2020-01-07 00:20:20.260739,0 days 00:00:50.400064000,"npp, FLO fix included."
28,2011,7,2429,1479,60.889254837381635,2020-01-07 00:21:10.664494,0 days 00:00:51.697130000,"npp, FLO fix included."
29,2012,7,2430,1502,61.81069958847737,2020-01-07 00:22:02.365205,0 days 00:00:51.899815000,"npp, FLO fix included."
